,CH1,CH3
-8.16800e-05,-1.80e-01,1.76e-01, 
-8.15800e-05,-1.60e-01,1.76e-01, 
-8.14800e-05,-1.80e-01,1.76e-01, 
-8.13800e-05,-1.40e-01,1.76e-01, 
-8.12800e-05,-2.00e-01,1.76e-01, 
-8.11800e-05,-1.40e-01,1.75e-01, 
-8.10800e-05,-1.80e-01,1.76e-01, 
-8.09800e-05,-1.40e-01,1.75e-01, 
-8.08800e-05,-1.80e-01,1.75e-01, 
-8.07800e-05,-1.40e-01,1.74e-01, 
-8.06800e-05,-1.80e-01,1.75e-01, 
-8.05800e-05,-1.40e-01,1.74e-01, 
-8.04800e-05,-1.40e-01,1.74e-01, 
-8.03800e-05,-1.80e-01,1.73e-01, 
-8.02800e-05,-1.40e-01,1.74e-01, 
-8.01800e-05,-1.80e-01,1.72e-01, 
-8.00800e-05,-1.80e-01,1.72e-01, 
-7.99800e-05,-1.40e-01,1.73e-01, 
-7.98800e-05,-1.60e-01,1.72e-01, 
-7.97800e-05,-1.20e-01,1.71e-01, 
-7.96800e-05,-1.60e-01,1.72e-01, 
-7.95800e-05,-1.20e-01,1.73e-01, 
-7.94800e-05,-1.60e-01,1.73e-01, 
-7.93800e-05,-1.20e-01,1.74e-01, 
-7.92800e-05,-1.20e-01,1.73e-01, 
-7.91800e-05,-1.60e-01,1.73e-01, 
-7.90800e-05,-1.20e-01,1.73e-01, 
-7.89800e-05,-1.60e-01,1.73e-01, 
-7.88800e-05,-1.60e-01,1.73e-01, 
-7.87800e-05,-1.20e-01,1.74e-01, 
-7.86800e-05,-1.20e-01,1.73e-01, 
-7.85800e-05,-1.40e-01,1.75e-01, 
-7.84800e-05,-1.00e-01,1.74e-01, 
-7.83800e-05,-1.40e-01,1.75e-01, 
-7.82800e-05,-1.00e-01,1.74e-01, 
-7.81800e-05,-1.60e-01,1.75e-01, 
-7.80800e-05,-1.40e-01,1.74e-01, 
-7.79800e-05,-1.00e-01,1.73e-01, 
-7.78800e-05,-1.20e-01,1.73e-01, 
-7.77800e-05,-1.00e-01,1.74e-01, 
-7.76800e-05,-1.40e-01,1.73e-01, 
-7.75800e-05,-1.00e-01,1.72e-01, 
-7.74800e-05,-1.20e-01,1.72e-01, 
-7.73800e-05,-1.00e-01,1.73e-01, 
-7.72800e-05,-1.20e-01,1.72e-01, 
-7.71800e-05,-1.00e-01,1.73e-01, 
-7.70800e-05,-1.00e-01,1.74e-01, 
-7.69800e-05,-1.20e-01,1.73e-01, 
-7.68800e-05,-8.00e-02,1.72e-01, 
-7.67800e-05,-1.20e-01,1.73e-01, 
-7.66800e-05,-1.20e-01,1.73e-01, 
-7.65800e-05,-8.00e-02,1.72e-01, 
-7.64800e-05,-1.20e-01,1.72e-01, 
-7.63800e-05,-8.00e-02,1.72e-01, 
-7.62800e-05,-1.20e-01,1.72e-01, 
-7.61800e-05,-8.00e-02,1.73e-01, 
-7.60800e-05,-1.20e-01,1.73e-01, 
-7.59800e-05,-8.00e-02,1.72e-01, 
-7.58800e-05,-1.00e-01,1.72e-01, 
-7.57800e-05,-6.00e-02,1.72e-01, 
-7.56800e-05,-1.20e-01,1.73e-01, 
-7.55800e-05,-6.00e-02,1.74e-01, 
-7.54800e-05,-1.20e-01,1.73e-01, 
-7.53800e-05,-6.00e-02,1.73e-01, 
-7.52800e-05,-1.00e-01,1.73e-01, 
-7.51800e-05,-6.00e-02,1.72e-01, 
-7.50800e-05,-6.00e-02,1.73e-01, 
-7.49800e-05,-1.00e-01,1.72e-01, 
-7.48800e-05,-6.00e-02,1.72e-01, 
-7.47800e-05,-1.00e-01,1.73e-01, 
-7.46800e-05,-8.00e-02,1.72e-01, 
-7.45800e-05,-4.00e-02,1.74e-01, 
-7.44800e-05,-8.00e-02,1.73e-01, 
-7.43800e-05,-4.00e-02,1.72e-01, 
-7.42800e-05,-8.00e-02,1.73e-01, 
-7.41800e-05,-4.00e-02,1.74e-01, 
-7.40800e-05,-6.00e-02,1.74e-01, 
-7.39800e-05,-4.00e-02,1.73e-01, 
-7.38800e-05,-8.00e-02,1.73e-01, 
-7.37800e-05,-4.00e-02,1.73e-01, 
-7.36800e-05,-4.00e-02,1.73e-01, 
-7.35800e-05,-6.00e-02,1.74e-01, 
-7.34800e-05,-6.00e-02,1.74e-01, 
-7.33800e-05,-4.00e-02,1.73e-01, 
-7.32800e-05,-6.00e-02,1.74e-01, 
-7.31800e-05,-2.00e-02,1.73e-01, 
-7.30800e-05,-6.00e-02,1.73e-01, 
-7.29800e-05,-2.00e-02,1.72e-01, 
-7.28800e-05,-4.00e-02,1.73e-01, 
-7.27800e-05,-6.00e-02,1.73e-01, 
-7.26800e-05,-4.00e-02,1.73e-01, 
-7.25800e-05,-2.00e-02,1.74e-01, 
-7.24800e-05,-2.00e-02,1.74e-01, 
-7.23800e-05,-6.00e-02,1.75e-01, 
-7.22800e-05,-6.00e-02,1.75e-01, 
-7.21800e-05,-2.00e-02,1.74e-01, 
-7.20800e-05,-4.00e-02,1.75e-01, 
-7.19800e-05,-2.00e-02,1.74e-01, 
-7.18800e-05,-4.00e-02,1.75e-01, 
-7.17800e-05,2.00e-02,1.74e-01, 
-7.16800e-05,-4.00e-02,1.74e-01, 
-7.15800e-05,-2.00e-02,1.73e-01, 
-7.14800e-05,-4.00e-02,1.73e-01, 
-7.13800e-05,0.00e+00,1.72e-01, 
-7.12800e-05,-4.00e-02,1.72e-01, 
-7.11800e-05,0.00e+00,1.71e-01, 
-7.10800e-05,-4.00e-02,1.71e-01, 
-7.09800e-05,0.00e+00,1.72e-01, 
-7.08800e-05,-2.00e-02,1.71e-01, 
-7.07800e-05,-4.00e-02,1.72e-01, 
-7.06800e-05,-2.00e-02,1.72e-01, 
-7.05800e-05,0.00e+00,1.71e-01, 
-7.04800e-05,-4.00e-02,1.70e-01, 
-7.03800e-05,2.00e-02,1.72e-01, 
-7.02800e-05,2.00e-02,1.72e-01, 
-7.01800e-05,-2.00e-02,1.73e-01, 
-7.00800e-05,-2.00e-02,1.73e-01, 
-6.99800e-05,2.00e-02,1.73e-01, 
-6.98800e-05,-2.00e-02,1.74e-01, 
-6.97800e-05,2.00e-02,1.72e-01, 
-6.96800e-05,-2.00e-02,1.72e-01, 
-6.95800e-05,2.00e-02,1.72e-01, 
-6.94800e-05,2.00e-02,1.72e-01, 
-6.93800e-05,-2.00e-02,1.71e-01, 
-6.92800e-05,0.00e+00,1.71e-01, 
-6.91800e-05,2.00e-02,1.70e-01, 
-6.90800e-05,2.00e-02,1.71e-01, 
-6.89800e-05,0.00e+00,1.71e-01, 
-6.88800e-05,2.00e-02,1.71e-01, 
-6.87800e-05,2.00e-02,1.72e-01, 
-6.86800e-05,2.00e-02,1.72e-01, 
-6.85800e-05,4.00e-02,1.71e-01, 
-6.84800e-05,0.00e+00,1.71e-01, 
-6.83800e-05,4.00e-02,1.70e-01, 
-6.82800e-05,2.00e-02,1.70e-01, 
-6.81800e-05,0.00e+00,1.72e-01, 
-6.80800e-05,2.00e-02,1.71e-01, 
-6.79800e-05,4.00e-02,1.72e-01, 
-6.78800e-05,4.00e-02,1.71e-01, 
-6.77800e-05,-2.00e-02,1.72e-01, 
-6.76800e-05,6.00e-02,1.72e-01, 
-6.75800e-05,2.00e-02,1.72e-01, 
-6.74800e-05,2.00e-02,1.72e-01, 
-6.73800e-05,6.00e-02,1.72e-01, 
-6.72800e-05,6.00e-02,1.72e-01, 
-6.71800e-05,2.00e-02,1.72e-01, 
-6.70800e-05,2.00e-02,1.73e-01, 
-6.69800e-05,6.00e-02,1.72e-01, 
-6.68800e-05,4.00e-02,1.72e-01, 
-6.67800e-05,6.00e-02,1.73e-01, 
-6.66800e-05,4.00e-02,1.73e-01, 
-6.65800e-05,6.00e-02,1.72e-01, 
-6.64800e-05,6.00e-02,1.72e-01, 
-6.63800e-05,2.00e-02,1.73e-01, 
-6.62800e-05,2.00e-02,1.72e-01, 
-6.61800e-05,8.00e-02,1.73e-01, 
-6.60800e-05,4.00e-02,1.72e-01, 
-6.59800e-05,8.00e-02,1.74e-01, 
-6.58800e-05,4.00e-02,1.74e-01, 
-6.57800e-05,1.00e-01,1.73e-01, 
-6.56800e-05,1.00e-01,1.73e-01, 
-6.55800e-05,4.00e-02,1.74e-01, 
-6.54800e-05,4.00e-02,1.75e-01, 
-6.53800e-05,8.00e-02,1.74e-01, 
-6.52800e-05,4.00e-02,1.73e-01, 
-6.51800e-05,8.00e-02,1.75e-01, 
-6.50800e-05,6.00e-02,1.75e-01, 
-6.49800e-05,8.00e-02,1.74e-01, 
-6.48800e-05,8.00e-02,1.75e-01, 
-6.47800e-05,6.00e-02,1.74e-01, 
-6.46800e-05,1.00e-01,1.74e-01, 
-6.45800e-05,6.00e-02,1.76e-01, 
-6.44800e-05,1.00e-01,1.76e-01, 
-6.43800e-05,4.00e-02,1.75e-01, 
-6.42800e-05,6.00e-02,1.76e-01, 
-6.41800e-05,1.00e-01,1.74e-01, 
-6.40800e-05,1.00e-01,1.75e-01, 
-6.39800e-05,6.00e-02,1.73e-01, 
-6.38800e-05,1.00e-01,1.74e-01, 
-6.37800e-05,8.00e-02,1.73e-01, 
-6.36800e-05,8.00e-02,1.73e-01, 
-6.35800e-05,1.00e-01,1.74e-01, 
-6.34800e-05,1.00e-01,1.74e-01, 
-6.33800e-05,1.20e-01,1.73e-01, 
-6.32800e-05,1.00e-01,1.74e-01, 
-6.31800e-05,8.00e-02,1.73e-01, 
-6.30800e-05,1.00e-01,1.73e-01, 
-6.29800e-05,1.20e-01,1.74e-01, 
-6.28800e-05,1.00e-01,1.74e-01, 
-6.27800e-05,1.20e-01,1.74e-01, 
-6.26800e-05,1.40e-01,1.74e-01, 
-6.25800e-05,1.00e-01,1.73e-01, 
-6.24800e-05,1.00e-01,1.74e-01, 
-6.23800e-05,1.40e-01,1.72e-01, 
-6.22800e-05,1.00e-01,1.73e-01, 
-6.21800e-05,1.40e-01,1.74e-01, 
-6.20800e-05,1.20e-01,1.74e-01, 
-6.19800e-05,1.00e-01,1.75e-01, 
-6.18800e-05,1.40e-01,1.75e-01, 
-6.17800e-05,1.00e-01,1.75e-01, 
-6.16800e-05,1.00e-01,1.76e-01, 
-6.15800e-05,1.40e-01,1.74e-01, 
-6.14800e-05,1.00e-01,1.74e-01, 
-6.13800e-05,1.60e-01,1.73e-01, 
-6.12800e-05,1.20e-01,1.73e-01, 
-6.11800e-05,1.60e-01,1.72e-01, 
-6.10800e-05,1.60e-01,1.72e-01, 
-6.09800e-05,1.20e-01,1.73e-01, 
-6.08800e-05,1.40e-01,1.72e-01, 
-6.07800e-05,1.00e-01,1.71e-01, 
-6.06800e-05,1.20e-01,1.72e-01, 
-6.05800e-05,1.60e-01,1.71e-01, 
-6.04800e-05,1.60e-01,1.71e-01, 
-6.03800e-05,1.20e-01,1.73e-01, 
-6.02800e-05,1.20e-01,1.72e-01, 
-6.01800e-05,1.60e-01,1.71e-01, 
-6.00800e-05,1.60e-01,1.71e-01, 
-5.99800e-05,1.20e-01,1.72e-01, 
-5.98800e-05,1.60e-01,1.72e-01, 
-5.97800e-05,1.20e-01,1.72e-01, 
-5.96800e-05,1.60e-01,1.73e-01, 
-5.95800e-05,1.20e-01,1.72e-01, 
-5.94800e-05,1.60e-01,1.72e-01, 
-5.93800e-05,1.40e-01,1.71e-01, 
-5.92800e-05,1.60e-01,1.71e-01, 
-5.91800e-05,1.20e-01,1.72e-01, 
-5.90800e-05,1.60e-01,1.72e-01, 
-5.89800e-05,1.60e-01,1.73e-01, 
-5.88800e-05,1.60e-01,1.72e-01, 
-5.87800e-05,1.80e-01,1.73e-01, 
-5.86800e-05,1.80e-01,1.72e-01, 
-5.85800e-05,1.40e-01,1.72e-01, 
-5.84800e-05,1.80e-01,1.72e-01, 
-5.83800e-05,1.60e-01,1.73e-01, 
-5.82800e-05,1.80e-01,1.73e-01, 
-5.81800e-05,1.40e-01,1.74e-01, 
-5.80800e-05,2.00e-01,1.74e-01, 
-5.79800e-05,1.60e-01,1.73e-01, 
-5.78800e-05,2.00e-01,1.74e-01, 
-5.77800e-05,1.60e-01,1.73e-01, 
-5.76800e-05,1.60e-01,1.73e-01, 
-5.75800e-05,1.80e-01,1.73e-01, 
-5.74800e-05,1.60e-01,1.73e-01, 
-5.73800e-05,2.00e-01,1.74e-01, 
-5.72800e-05,2.00e-01,1.74e-01, 
-5.71800e-05,1.60e-01,1.73e-01, 
-5.70800e-05,1.80e-01,1.74e-01, 
-5.69800e-05,2.00e-01,1.72e-01, 
-5.68800e-05,1.80e-01,1.73e-01, 
-5.67800e-05,2.00e-01,1.74e-01, 
-5.66800e-05,1.60e-01,1.74e-01, 
-5.65800e-05,2.20e-01,1.72e-01, 
-5.64800e-05,1.80e-01,1.73e-01, 
-5.63800e-05,2.40e-01,1.73e-01, 
-5.62800e-05,2.20e-01,1.74e-01, 
-5.61800e-05,1.80e-01,1.73e-01, 
-5.60800e-05,1.80e-01,1.73e-01, 
-5.59800e-05,2.40e-01,1.75e-01, 
-5.58800e-05,2.40e-01,1.75e-01, 
-5.57800e-05,1.80e-01,1.74e-01, 
-5.56800e-05,2.40e-01,1.75e-01, 
-5.55800e-05,1.80e-01,1.74e-01, 
-5.54800e-05,2.00e-01,1.74e-01, 
-5.53800e-05,2.40e-01,1.73e-01, 
-5.52800e-05,2.00e-01,1.72e-01, 
-5.51800e-05,2.40e-01,1.74e-01, 
-5.50800e-05,2.20e-01,1.74e-01, 
-5.49800e-05,2.40e-01,1.73e-01, 
-5.48800e-05,2.40e-01,1.73e-01, 
-5.47800e-05,2.00e-01,1.74e-01, 
-5.46800e-05,2.40e-01,1.74e-01, 
-5.45800e-05,2.00e-01,1.75e-01, 
-5.44800e-05,2.00e-01,1.75e-01, 
-5.43800e-05,2.60e-01,1.74e-01, 
-5.42800e-05,2.20e-01,1.74e-01, 
-5.41800e-05,2.40e-01,1.75e-01, 
-5.40800e-05,2.40e-01,1.74e-01, 
-5.39800e-05,2.60e-01,1.75e-01, 
-5.38800e-05,2.40e-01,1.75e-01, 
-5.37800e-05,2.20e-01,1.76e-01, 
-5.36800e-05,2.40e-01,1.75e-01, 
-5.35800e-05,2.20e-01,1.74e-01, 
-5.34800e-05,2.60e-01,1.75e-01, 
-5.33800e-05,2.40e-01,1.74e-01, 
-5.32800e-05,2.20e-01,1.74e-01, 
-5.31800e-05,2.80e-01,1.73e-01, 
-5.30800e-05,2.40e-01,1.74e-01, 
-5.29800e-05,2.60e-01,1.73e-01, 
-5.28800e-05,2.40e-01,1.73e-01, 
-5.27800e-05,2.80e-01,1.74e-01, 
-5.26800e-05,2.40e-01,1.74e-01, 
-5.25800e-05,2.80e-01,1.73e-01, 
-5.24800e-05,2.40e-01,1.73e-01, 
-5.23800e-05,3.00e-01,1.73e-01, 
-5.22800e-05,2.40e-01,1.73e-01, 
-5.21800e-05,2.80e-01,1.72e-01, 
-5.20800e-05,2.40e-01,1.72e-01, 
-5.19800e-05,2.80e-01,1.73e-01, 
-5.18800e-05,2.60e-01,1.73e-01, 
-5.17800e-05,2.40e-01,1.73e-01, 
-5.16800e-05,2.40e-01,1.73e-01, 
-5.15800e-05,3.00e-01,1.73e-01, 
-5.14800e-05,3.00e-01,1.74e-01, 
-5.13800e-05,2.40e-01,1.73e-01, 
